Model,AIC,Best ARIMA Model,Best AIC
"ARIMA(0, 0, 0)",236.38935036304184,"(2, 0, 2)",229.80379841691905
"ARIMA(0, 0, 1)",234.21089851920254,"(2, 0, 2)",229.80379841691905
"ARIMA(0, 0, 2)",230.66332507479342,"(2, 0, 2)",229.80379841691905
"ARIMA(0, 1, 0)",252.6355250882052,"(2, 0, 2)",229.80379841691905
"ARIMA(0, 1, 1)",233.57708763955065,"(2, 0, 2)",229.80379841691905
"ARIMA(0, 1, 2)",235.1243347740274,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 0, 0)",237.85346151176546,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 0, 1)",231.16345224187484,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 0, 2)",232.3888519824667,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 1, 0)",246.4053634326659,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 1, 1)",235.2714421121457,"(2, 0, 2)",229.80379841691905
"ARIMA(1, 1, 2)",237.39794161676156,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 0, 0)",239.14084605771023,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 0, 1)",231.3827091197401,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 0, 2)",229.80379841691905,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 1, 0)",246.4134366889084,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 1, 1)",236.82542625704102,"(2, 0, 2)",229.80379841691905
"ARIMA(2, 1, 2)",239.2021135543653,"(2, 0, 2)",229.80379841691905
